Name,Gender,House,Season,Total
Hodor,Male,,5,0
Hodor,Male,,6,23
Hodor,Male,,7,0
Hodor,Male,,8,0
Osha,Female,,1,261
Osha,Female,,2,507
Osha,Female,,3,837
Osha,Female,,4,0
Osha,Female,,5,0
Osha,Female,,6,82
Osha,Female,,7,0
Osha,Female,,8,0
Jojen Reed,Male,,1,0
Jojen Reed,Male,,2,0
Jojen Reed,Male,,3,439
Jojen Reed,Male,,4,223
Jojen Reed,Male,,5,0
Jojen Reed,Male,,6,0
Jojen Reed,Male,,7,0
Jojen Reed,Male,,8,0
Rickard Karstark,Male,,1,30
Rickard Karstark,Male,,2,188
Rickard Karstark,Male,,3,177
Rickard Karstark,Male,,4,0
Rickard Karstark,Male,,5,0
Rickard Karstark,Male,,6,7
Rickard Karstark,Male,,7,0
Rickard Karstark,Male,,8,0
 Maester Luwin,Male,,1,426
 Maester Luwin,Male,,2,658
 Maester Luwin,Male,,3,0
 Maester Luwin,Male,,4,0
 Maester Luwin,Male,,5,0
 Maester Luwin,Male,,6,0
 Maester Luwin,Male,,7,0
 Maester Luwin,Male,,8,0
Rodrik Cassel,Male,,1,62
Rodrik Cassel,Male,,2,149
Rodrik Cassel,Male,,3,0
